;tfidf1.txt;tfidf2.txt;tfidf3.txt;tfidf4.txt;tfidf5.txt;
среди;0;1;0;0;0;
паника;1;0;0;0;0;
другая;0;0;0;1;0;
поведаю;0;0;1;0;0;
у;1;1;1;0;0;
изящных;0;0;0;0;1;
запивка;0;0;0;0;1;
информационной;1;0;0;0;0;
вкуса;0;0;0;0;1;
dприложении;0;0;1;0;0;
выяснил;0;0;1;0;0;
приложений;0;0;0;0;1;
якобы;0;0;1;0;0;
многофункциональных;0;0;0;1;0;
нас;1;1;0;1;0;
сравнений;0;0;0;0;1;
так;1;0;1;1;1;
новому;0;0;1;0;0;
армия;0;1;0;0;0;
лучше;0;0;0;0;1;
программированию;0;0;0;0;1;
драйвер;0;0;0;1;0;
вывода;0;0;1;0;0;
расположил;0;0;1;0;0;
го;0;0;0;1;0;
следующий;0;0;1;0;0;
стоит;1;0;0;0;1;
того;0;0;0;1;1;
мне;0;0;1;0;0;
некоторые;0;0;1;1;1;
мимо;1;0;0;0;0;
утверждают;0;0;0;0;1;
правда;0;1;0;1;0;
какому;0;1;0;0;0;
что;1;0;1;1;1;
разобраться;0;0;0;1;0;
считается;0;0;0;0;1;
определены;0;0;0;1;0;
зависит;1;0;0;0;0;
работает;1;0;1;0;0;
чаще;1;0;0;0;0;
устроено;0;0;0;1;0;
идеальный;0;0;0;0;1;
правописания;1;0;0;0;0;
войне;0;0;0;1;0;
случаются;1;0;0;0;0;
лет;0;0;0;0;1;
тут;0;0;1;0;0;
достаточно;1;0;0;0;0;
первый;1;0;0;0;0;
заставляет;0;0;0;1;0;
студии;0;0;0;1;0;
api;0;0;0;1;1;
считают;0;0;0;1;0;
кармане;0;0;0;0;1;
неприемлемо;0;0;0;1;0;
слева;1;0;0;0;0;
первые;0;1;0;1;0;
решаемые;0;0;0;0;1;
системного;0;0;0;0;1;
развивалась;0;0;0;1;0;
было;1;0;1;1;0;
usb;1;0;0;0;0;
меня;1;1;0;0;0;
развивать;0;0;0;1;0;
вызвался;0;1;0;0;0;
была;0;1;0;1;0;
протолкнуть;0;0;0;1;0;
деле;0;0;0;0;1;
конвергентность;0;0;0;1;0;
щёлкнул;1;0;0;0;0;
дела;0;0;0;0;1;
года;1;0;0;0;0;
думали;0;1;0;0;0;
дело;1;0;0;0;0;
выполнение;0;0;0;0;1;
настройками;0;0;0;1;0;
о;1;0;0;0;0;
иерархии;0;0;0;1;0;
приводят;0;1;0;0;0;
профессиональных;0;0;0;1;0;
убрать;1;0;0;0;0;
благодаря;0;0;0;1;0;
вычислительной;0;0;0;1;0;
уже;0;0;0;1;0;
годы;0;0;0;1;0;
меньше;0;0;1;0;1;
инструментами;0;0;0;1;0;
всего;1;0;0;1;0;
ценой;1;0;0;0;0;
добавок;0;0;0;0;1;
программу;0;0;0;1;0;
рынка;0;0;0;1;0;
переходники;0;0;1;0;0;
файлами;0;0;0;1;0;
документа;1;0;0;0;0;
всякая;0;0;0;0;1;
смешно;0;0;1;0;0;
лидера;0;0;0;0;1;
развития;0;0;0;1;0;
word;0;1;0;0;0;
извлёк;0;0;1;0;0;
логике;0;0;0;0;1;
параллельно;0;0;0;1;0;
настройки;1;0;0;0;0;
поддержка;0;0;0;1;0;
протеиновый;0;0;0;0;1;
конфигурации;0;0;1;0;0;
под;1;0;0;0;1;
интерфейсу;0;0;0;1;0;
закуска;0;0;0;0;1;
работаем;1;0;0;0;0;
природной;0;0;0;1;0;
кабель;0;0;1;0;0;
тушью;0;0;0;0;1;
эволюция;0;0;0;1;0;
второго;0;0;0;1;0;
долгое;0;0;0;1;0;
рождённые;0;0;0;0;1;
еду;0;0;0;0;1;
выпуска;1;0;0;0;0;
разграничение;1;0;0;0;0;
недостатки;0;0;0;1;0;
автосимулятор;0;0;1;0;0;
объясняйся;1;0;0;0;0;
снова;0;0;1;0;0;
конвертация;1;0;0;0;0;
силу;0;0;0;1;0;
владельцы;0;0;0;1;0;
компьютеров;0;1;0;0;0;
портвейна;0;0;0;0;1;
тональными;0;0;0;0;1;
большой;0;0;1;0;0;
люди;0;0;0;0;1;
набранного;1;0;0;0;0;
создавать;0;0;0;0;1;
вашей;1;0;0;0;0;
эту;0;0;0;0;1;
первого;0;0;0;1;0;
война;0;0;0;1;0;
отравиться;0;0;0;0;1;
периодически;0;0;0;0;1;
забавнее;0;0;0;1;0;
неважно;0;0;0;1;0;
утилит;0;0;0;1;0;
пальцам;0;0;0;0;1;
по;1;1;0;1;1;
встречал;0;0;1;0;0;
начало;0;0;0;1;0;
посадят;0;1;0;0;0;
пк;0;0;1;1;0;
архитектуру;0;0;0;1;0;
одном;0;0;1;1;0;
подливать;0;0;0;0;1;
одной;0;0;1;0;0;
недавно;1;0;1;0;0;
сюда;0;0;0;1;0;
восьмой;0;1;0;0;0;
это;0;1;1;1;1;
столе;0;0;1;0;0;
помог;0;0;1;0;0;
тогда;0;0;1;0;1;
эта;0;0;0;1;0;
мороз;0;1;0;0;0;
сигнала;0;0;1;0;0;
сдаёмся;0;0;1;0;0;
безопасно;0;0;0;0;1;
тащить;0;1;0;0;0;
большую;0;0;0;1;0;
устройству;0;0;0;0;1;
носить;0;0;0;0;1;
неразумных;1;0;0;0;0;
употребляйте;0;0;0;0;1;
поставленную;0;0;1;0;0;
книги;0;0;0;0;1;
айтишники;0;0;1;0;0;
офиснодомашние;0;0;0;1;0;
nvidia;0;0;1;0;0;
додуматься;0;0;0;0;1;
места;0;0;0;1;0;
программмегамонстров;0;0;0;1;0;
оптимальное;0;0;0;0;1;
зарабатывают;0;0;0;0;1;
файловой;0;0;0;1;0;
алкоголь;0;0;0;0;1;
нюансы;0;0;1;0;0;
ведру;0;1;0;0;0;
основному;0;0;0;0;1;
масса;0;0;0;0;1;
гравюра;0;0;0;0;1;
неудобно;0;0;0;1;0;
один;1;1;1;1;0;
общая;1;0;0;0;0;
офицеров;0;1;0;0;0;
вычислительных;0;0;0;1;0;
несуразицами;0;0;0;0;1;
соотношение;0;0;0;0;1;
избавлялись;0;0;0;1;0;
загорелся;0;0;1;0;0;
вино;0;0;0;0;1;
передавалось;0;0;0;1;0;
готовы;0;0;0;1;1;
тем;0;0;0;0;1;
грамма;1;0;0;0;0;
отдалился;0;0;1;0;0;
маленький;0;0;0;0;1;
солдатский;0;1;0;0;0;
влиянием;0;0;0;0;1;
забыл;0;0;0;0;1;
разными;0;0;0;0;1;
водки;0;0;0;0;1;
вывести;0;0;1;0;0;
привычными;0;0;0;1;0;
или;0;1;0;1;1;
трое;0;1;0;0;0;
расчётов;0;0;0;0;1;
тряпки;0;1;0;0;0;
архитектура;0;0;0;0;1;
штабных;0;1;0;0;0;
управлять;0;0;0;1;0;
духами;0;0;0;0;1;
недостатками;0;0;0;1;0;
пришли;0;0;0;1;0;
блюду;0;0;0;0;1;
почти;0;0;0;1;0;
продвинутого;0;0;1;0;0;
переписке;1;0;0;0;0;
при;1;0;0;1;0;
такая;0;0;0;0;1;
кпп;0;1;0;0;0;
поделка;0;0;0;1;0;
пользователя;0;0;1;0;0;
сочетания;0;0;0;0;1;
комплекс;1;0;0;0;0;
модной;0;0;0;0;1;
вызвались;0;1;0;0;0;
количество;0;0;1;0;0;
вы;1;0;0;0;0;
никак;0;0;0;1;0;
жизнью;1;0;0;0;0;
работающий;0;0;1;0;0;
править;1;0;0;0;0;
понятие;0;0;0;1;0;
покрасить;0;1;0;0;0;
эти;0;0;1;1;0;
флакончик;0;0;0;0;1;
система;0;0;0;1;0;
поставил;0;0;0;0;1;
принтеров;0;1;0;0;0;
творческие;0;0;0;0;1;
его;1;0;0;1;1;
созданию;0;0;0;1;0;
повылезали;0;0;0;1;0;
равное;0;0;1;0;0;
ряда;1;0;0;0;0;
могу;1;0;0;0;0;
пьёт;0;0;0;0;1;
упихивают;0;0;0;1;0;
выпейте;0;0;0;0;1;
шаг;0;0;1;0;0;
центрах;0;0;0;1;0;
одну;0;0;1;1;0;
гугла;0;0;1;0;0;
ним;0;0;1;1;0;
задачу;0;0;1;0;0;
хорошо;0;0;0;1;1;
сети;1;0;0;1;0;
из;1;0;1;1;0;
начали;0;0;0;1;0;
чтото;0;0;1;1;0;
прав;1;0;0;0;0;
потом;1;1;1;0;0;
умные;0;0;0;1;0;
написал;0;0;0;1;0;
давнымдавно;0;0;0;1;0;
впрочем;0;0;0;1;0;
применимы;0;0;0;1;0;
решений;0;0;0;0;1;
оказалось;0;1;0;1;0;
службы;0;1;0;0;0;
вопреки;0;0;0;0;1;
обедами;0;0;0;0;1;
лад;0;0;0;1;0;
увеличение;0;0;1;0;0;
попытались;0;0;0;1;0;
два;0;1;0;0;0;
них;0;0;0;1;0;
этого;1;0;0;1;0;
две;1;0;0;0;0;
своих;0;0;0;1;0;
стиль;0;0;0;0;1;
рискнули;0;1;0;0;0;
редактора;0;0;0;1;0;
тип;1;0;0;0;0;
ориентированные;0;0;0;1;0;
моим;1;0;0;0;0;
я;1;0;1;0;0;
выяснилось;0;0;1;0;0;
пьют;0;0;0;0;1;
временем;0;0;0;1;0;
диск;0;0;0;1;0;
windowsалкоголики;0;0;0;0;1;
фисташки;0;0;0;0;1;
надёжнее;0;0;0;1;0;
разного;0;0;1;0;0;
ошибки;0;0;0;1;0;
программистов;0;0;0;1;0;
постепенно;0;0;0;1;0;
раз;0;0;0;1;0;
рояль;0;1;0;0;0;
открытый;1;0;0;0;0;
далее;0;0;0;1;0;
сложной;0;0;0;1;0;
даже;0;0;1;1;0;
представители;0;0;0;1;0;
аналоговоцифровым;0;0;1;0;0;
гуглим;0;0;1;0;0;
их;0;0;1;1;1;
ютубе;0;0;1;0;0;
тратить;0;0;0;0;1;
занимает;1;0;0;0;1;
кодах;0;0;0;1;0;
достало;0;0;1;0;0;
разъёмов;0;0;1;0;0;
для;1;1;1;1;1;
мониторов;0;1;1;0;0;
думать;0;0;1;0;0;
шедевры;0;0;0;0;1;
доступом;0;0;0;1;0;
несколько;0;0;0;0;1;
изначально;0;0;1;0;0;
он;0;0;0;1;1;
собственно;0;0;1;0;0;
обложка;0;0;0;0;1;
отличная;0;0;0;0;1;
идеальная;0;0;0;0;1;
кремами;0;0;0;0;1;
неудивительно;0;0;0;1;0;
коммерческие;0;0;0;1;0;
никто;0;0;1;0;0;
естественно;0;0;1;1;0;
искали;0;1;0;0;0;
товарища;0;1;0;0;0;
бы;1;0;0;0;0;
переходит;1;0;0;0;0;
военного;0;1;0;0;0;
родит;0;0;1;0;0;
специальной;0;0;0;1;0;
новая;0;0;0;1;0;
хотелось;1;0;0;0;0;
водка;0;0;0;0;1;
объединяются;0;0;1;0;0;
копирайта;1;0;0;0;0;
варианты;0;0;0;1;0;
картинки;1;0;0;0;0;
обеспечения;1;0;0;0;0;
множество;0;0;0;1;0;
отношения;1;0;0;0;0;
взгляд;1;0;0;0;0;
сдачи;0;0;0;0;1;
к;1;0;1;1;1;
которой;0;0;0;1;0;
другие;0;0;0;1;0;
документ;1;0;0;0;0;
отдать;0;0;0;1;0;
понимать;0;0;0;0;1;
поэтому;0;0;0;1;0;
ctrlz;1;0;0;0;0;
компьютере;0;0;0;1;0;
других;0;0;0;1;1;
рвотой;0;0;0;0;1;
машине;1;0;0;0;0;
сейчас;1;0;0;0;0;
больше;0;0;0;1;1;
ближе;0;0;0;0;1;
огорчение;0;0;1;0;0;
водку;0;0;0;0;1;
обычно;0;0;0;0;1;
дивизии;0;1;0;0;0;
опьянения;0;0;0;0;1;
маловероятно;0;0;0;0;1;
задачи;0;0;0;0;1;
началась;0;0;0;1;0;
наверное;0;0;0;1;0;
портвейновые;0;0;0;0;1;
штуки;0;0;1;0;0;
был;0;1;1;0;0;
ос;0;0;0;1;1;
от;1;0;1;1;1;
сок;0;0;0;0;1;
меняться;0;0;0;1;0;
почемуто;0;0;0;1;0;
попытке;1;0;0;0;0;
чего;1;0;1;1;1;
алкогольной;0;0;0;0;1;
без;0;0;1;1;1;
пойдёт;1;0;0;0;0;
невнятная;0;0;0;0;1;
фокус;1;0;0;0;0;
каждого;1;0;0;1;0;
тутто;0;0;1;1;0;
абзаце;1;0;0;0;0;
видеоплате;0;0;1;0;0;
программа;0;0;0;1;0;
внутреннее;0;0;0;0;1;
добавлять;0;0;0;0;1;
такой;0;0;0;0;1;
пакет;1;0;0;0;0;
юзверя;0;0;1;0;0;
разделяемых;0;0;0;1;0;
него;0;0;0;1;0;
ресниц;0;0;0;0;1;
три;0;0;1;0;0;
гнёта;1;0;0;0;0;
воды;0;1;0;0;0;
vga;0;0;1;0;0;
примерно;0;0;1;0;0;
бесплатными;0;0;0;0;1;
отдельном;1;0;0;0;0;
проверка;1;0;0;0;0;
odf;1;0;0;0;0;
ну;0;0;0;0;1;
производители;0;0;0;1;0;
головокружением;0;0;0;0;1;
иерархичность;0;0;0;1;0;
запускать;0;0;0;1;0;
хлебную;0;0;0;1;0;
раньше;1;0;0;0;0;
глупо;0;0;0;1;0;
технология;0;0;1;0;0;
троллят;0;0;0;1;0;
звания;0;0;1;0;0;
быть;0;1;1;0;1;
за;1;1;1;1;0;
мультимедийном;1;0;0;0;0;
принципам;0;0;0;1;0;
однозадачности;0;0;0;1;0;
если;1;0;1;1;1;
созвездия;1;0;0;0;0;
программы;0;0;1;1;0;
структурных;0;0;0;0;1;
фишек;0;1;0;0;0;
какието;0;0;0;0;1;
желанием;1;0;1;0;0;
windows;0;0;0;1;1;
обзора;0;0;1;0;0;
педальным;0;0;0;0;1;
времени;0;0;0;1;1;
индейцев;1;0;0;0;0;
нескольких;0;0;0;1;0;
остановке;0;0;0;0;1;
структурой;0;0;0;0;1;
читать;0;0;0;1;0;
новое;0;0;1;0;0;
талантливый;0;1;0;0;0;
нам;0;0;0;1;0;
успел;0;0;1;0;0;
подкопаешься;1;0;0;0;0;
грузовики;0;0;1;0;0;
устройств;0;0;0;1;0;
странице;1;0;0;0;0;
удобнее;0;0;0;1;0;
понял;0;0;1;0;0;
иллюстрация;0;0;0;0;1;
должна;0;0;0;1;1;
берут;0;0;0;0;1;
построена;0;0;0;1;0;
через;1;0;0;0;0;
ограждение;0;1;0;0;0;
идеологией;0;0;0;1;0;
пользователей;0;0;0;1;0;
картинках;1;0;0;0;0;
быстро;0;0;0;0;1;
достоинствами;0;0;0;1;0;
новеньком;1;0;0;0;0;
мыло;0;1;0;0;0;
скорее;0;0;0;1;0;
едят;0;0;0;1;0;
поддержке;0;0;0;1;0;
а;1;0;1;1;1;
большим;1;0;0;0;0;
замену;0;0;1;0;0;
ибо;1;0;0;0;0;
драка;0;1;0;0;0;
вот;1;1;0;1;0;
скромненько;1;0;0;0;0;
среда;0;0;0;0;1;
не;1;1;1;1;1;
про;0;0;1;1;0;
на;1;1;1;1;1;
привычной;0;0;0;1;0;
дала;0;0;0;1;0;
везде;0;0;0;1;0;
но;1;0;1;1;1;
ни;1;0;0;0;0;
узнавайте;0;0;1;0;0;
зато;0;0;0;0;1;
попадают;0;0;0;0;1;
друзей;0;0;0;0;1;
свои;0;0;0;1;0;
хотите;1;0;0;0;0;
употребляют;0;0;0;0;1;
чем;1;0;1;0;1;
является;0;0;1;0;1;
устаревший;0;0;0;0;1;
закусывается;0;0;0;0;1;
адаптировать;0;0;0;1;0;
очередной;0;0;1;0;1;
модифицировать;0;0;1;0;0;
тяжеловато;0;1;0;0;0;
потерей;1;0;0;0;0;
квартиру;1;0;0;0;0;
конечно;1;0;0;1;0;
тренировки;0;0;0;0;1;
программировать;0;0;0;1;0;
софтом;1;0;0;0;0;
отличный;1;0;0;0;0;
цифрового;0;0;1;0;0;
задача;0;0;0;1;0;
клуб;0;1;0;0;0;
лежащего;0;0;0;0;1;
вокруг;0;1;0;0;0;
чтениязаписи;0;0;0;1;0;
самом;0;0;0;0;1;
открывает;1;0;0;0;0;
внутреннему;0;0;0;0;1;
носимую;0;0;0;0;1;
коктейль;0;0;0;0;1;
сохраняется;1;0;0;0;0;
всех;0;0;0;1;0;
зависимости;1;0;0;0;0;
итак;1;0;0;0;0;
устройствами;0;0;0;1;0;
компаний;0;0;0;0;1;
сел;0;0;0;0;1;
какаяникакая;0;0;0;1;0;
удалось;0;1;0;0;0;
мышке;1;0;0;0;0;
художника;0;1;0;0;0;
дальше;0;0;1;0;0;
основном;0;0;0;1;0;
возник;0;0;1;0;0;
квадратный;0;0;1;0;0;
ожидаемого;0;0;1;0;0;
художники;0;0;0;0;1;
образец;0;0;0;0;1;
ориентированных;0;0;0;1;0;
размещения;0;0;0;1;0;
монитора;0;0;1;0;0;
программеоболочке;0;0;0;1;0;
winapi;0;0;0;1;0;
нужно;0;0;1;0;0;
назад;0;0;0;1;0;
удобной;0;0;0;1;0;
безопасности;1;0;0;0;0;
силах;0;0;0;1;0;
стилем;1;0;0;0;0;
музыканты;0;1;0;0;0;
android;0;0;0;0;1;
слышал;0;0;0;1;0;
потомкам;0;0;0;1;0;
гдето;1;0;0;0;0;
вкусовых;0;0;0;0;1;
дому;1;0;0;0;0;
могут;0;0;0;1;1;
получил;0;0;1;0;0;
остальныето;0;0;0;1;0;
поделку;0;0;0;1;0;
мониторы;0;0;1;0;0;
обленившегося;0;0;0;0;1;
возможно;0;0;1;0;0;
древовидная;0;0;0;1;0;
монитору;0;0;1;0;0;
попало;0;0;0;0;1;
потребность;0;0;0;1;0;
тяжелее;0;0;0;0;1;
зависимость;0;0;0;0;1;
оно;0;0;0;1;0;
переходник;0;0;1;0;0;
энтузиасты;0;0;0;1;1;
удобно;0;0;0;0;1;
всей;1;0;0;0;0;
они;0;0;0;1;1;
лицензий;1;0;0;0;0;
идеал;0;0;0;0;1;
продаже;0;0;0;1;0;
работали;0;0;0;1;0;
добавилась;0;0;0;1;0;
встаёт;0;0;0;0;1;
общественном;0;0;0;0;1;
pdf;1;0;0;0;0;
огорчиться;0;0;1;0;0;
менюшками;0;0;0;1;0;
игры;0;0;1;0;0;
недорого;0;0;0;0;1;
верностью;1;0;0;0;0;
скачут;1;0;0;0;0;
гуглить;0;0;1;0;0;
должны;0;0;0;1;0;
опять;0;0;1;0;0;
придумана;0;0;0;1;0;
определённому;0;0;0;1;0;
поехал;0;0;1;0;0;
же;0;1;1;1;1;
оказывается;0;0;0;0;1;
linux;0;0;0;1;1;
дают;0;1;0;0;0;
месяцы;0;1;0;0;0;
зацепиться;0;1;0;0;0;
портвейновую;0;0;0;0;1;
офисный;1;0;0;0;0;
взаимодействовать;0;0;0;1;0;
стандартом;0;0;0;0;1;
секунд;1;0;0;0;0;
поиграться;0;0;1;0;0;
стенгазеты;0;1;0;0;0;
многочисленное;0;0;0;1;0;
ширине;0;0;1;0;0;
крепче;0;0;0;0;1;
простоты;0;0;0;1;0;
дорогими;0;0;0;0;1;
можно;1;0;0;1;1;
употребляющие;0;0;0;0;1;
памяти;0;0;0;1;0;
программиста;0;0;0;0;1;
изящный;0;0;0;0;1;
уметь;0;0;0;1;0;
смог;1;0;0;0;0;
решения;0;0;0;1;0;
подготовки;1;0;0;0;0;
помощника;0;0;1;0;0;
жизнь;0;0;0;1;0;
написанных;0;0;0;0;1;
мораль;0;0;1;0;0;
опечатки;1;0;0;0;0;
опыт;0;0;0;1;0;
угла;0;0;1;0;0;
программисты;0;0;0;1;0;
никому;0;0;0;0;1;
повсюду;0;0;0;1;0;
субкультура;0;0;0;0;1;
прошли;0;0;0;1;0;
подлянка;0;1;0;0;0;
несколькими;0;0;1;0;0;
этой;0;0;0;1;0;
том;0;0;0;1;0;
универсальности;0;0;0;1;0;
серьёзных;0;0;0;1;0;
просто;0;0;1;1;1;
подходит;0;0;0;0;1;
промышленность;0;0;0;1;0;
производстве;0;0;0;1;0;
праву;0;0;0;0;1;
иллюстрацией;0;0;0;0;1;
юзверем;0;0;1;0;0;
играют;0;0;1;0;0;
студент;0;0;0;1;0;
дня;0;1;0;0;0;
портвейном;0;0;0;0;1;
лишь;1;0;0;0;0;
слаще;0;0;0;1;0;
sli;0;0;1;0;0;
простым;0;0;1;0;0;
вторые;0;0;0;1;0;
служили;0;0;0;1;0;
ней;0;0;0;1;0;
употребления;0;0;0;0;1;
чай;0;0;0;0;1;
время;0;0;0;1;0;
открытое;1;0;0;0;0;
комплекте;0;0;1;0;0;
андроид;0;0;0;1;0;
думал;0;1;0;0;0;
единообразия;0;0;0;1;0;
также;0;0;1;1;0;
айти;0;0;1;0;0;
it;1;1;0;0;0;
массе;0;0;0;0;1;
vs;1;0;0;1;0;
системному;0;0;0;0;1;
файл;0;0;0;1;0;
интересного;0;0;1;0;0;
привычки;0;0;0;1;0;
хватило;1;0;0;0;0;
диаректор;1;0;0;0;0;
полетел;0;0;0;0;1;
процессе;0;0;0;1;0;
живут;1;0;0;0;0;
разные;0;0;0;1;0;
уверены;1;0;0;0;0;
необходимая;0;0;1;0;0;
мелких;0;0;0;1;0;
своей;1;0;0;1;1;
лидер;0;0;0;0;1;
принтер;0;0;0;1;0;
одна;0;0;0;1;0;
вставленные;1;0;0;0;0;
бланков;1;0;0;0;0;
компьютерщиков;0;1;0;0;0;
многопользовательской;0;0;0;1;0;
одни;0;0;0;1;0;
свой;0;0;1;1;0;
имеющей;1;0;0;0;0;
скорость;1;0;0;0;0;
одно;0;0;0;1;0;
с;1;0;1;1;1;
появляется;0;0;1;0;0;
двухстраничный;1;0;0;0;0;
создание;0;0;0;1;0;
повторил;0;0;0;1;0;
место;0;0;0;1;1;
клиента;0;0;0;1;0;
арахис;0;0;0;0;1;
придёт;0;0;0;0;1;
мониторами;0;0;1;0;0;
ios;0;0;0;0;1;
нём;1;0;0;0;0;
ничего;0;1;0;1;0;
искренне;0;0;0;1;0;
сменил;1;0;0;0;0;
своё;0;0;0;1;0;
молоко;0;0;0;0;1;
связи;0;0;0;1;0;
ухитряетесь;1;0;0;0;0;
подключением;0;0;1;0;0;
текста;1;0;0;0;0;
станет;0;0;1;0;0;
работала;0;0;0;1;0;
процессы;0;0;0;1;0;
однажды;0;1;0;0;0;
варенье;0;0;0;0;1;
сам;0;1;0;0;0;
технологии;0;0;0;0;1;
окружают;0;0;0;1;0;
думаю;0;0;1;0;0;
дураки;0;0;0;1;0;
морс;0;0;0;0;1;
дурной;0;0;0;0;1;
мы;0;0;1;0;0;
одного;1;0;0;0;0;
отмыть;0;1;0;0;0;
вышка;0;1;0;0;0;
пробовал;0;0;0;1;0;
когда;0;0;0;1;0;
поскольку;0;0;0;1;0;
историю;0;0;1;0;0;
бойтесь;0;0;1;0;0;
файлов;0;0;0;1;0;
всем;0;0;0;0;1;
её;0;0;0;1;0;
купил;0;0;1;0;0;
ты;1;0;0;0;0;
очередная;0;0;0;1;0;
вредно;0;0;1;0;0;
старому;0;0;1;0;0;
приборами;1;0;0;0;0;
сделать;0;0;1;0;0;
формат;1;0;0;0;0;
участвовали;0;0;0;1;0;
вкусными;0;0;0;0;1;
основной;0;0;0;0;1;
такие;0;0;1;0;0;
путались;0;0;0;1;0;
качественно;0;0;0;0;1;
таким;1;0;0;0;0;
нет;1;0;0;0;1;
выше;0;0;1;0;0;
против;0;0;0;1;0;
смелость;0;0;0;0;1;
репы;0;0;0;1;0;
другую;0;0;0;0;1;
персоналки;0;0;0;1;0;
экспериментировать;0;0;0;0;1;
пять;1;0;0;0;0;
фона;1;0;0;0;0;
эксперимента;1;0;0;0;0;
терпимо;0;0;0;1;0;
очень;1;0;0;1;1;
разных;0;0;0;1;0;
завтра;0;0;1;0;0;
похожим;0;0;0;1;0;
аналоговый;0;0;1;0;0;
притащил;1;0;0;0;0;
обойтись;0;0;1;0;0;
год;1;1;0;0;0;
специально;1;0;0;0;0;
дороже;0;0;1;0;1;
дефакто;0;0;0;0;1;
совершенно;1;0;0;1;0;
трёх;0;0;1;0;0;
работать;0;0;0;1;1;
нормально;1;0;0;0;0;
идеология;0;0;0;1;0;
личного;1;0;0;0;0;
одним;0;0;1;0;0;
решение;0;0;1;0;1;
неприятно;1;0;0;0;0;
предустановке;0;0;0;1;0;
невзирая;1;0;0;0;0;
начинается;1;0;0;0;0;
операционная;0;0;0;1;0;
возникало;0;0;0;1;0;
зверька;1;0;0;0;0;
становятся;1;0;0;0;0;
возьми;1;0;0;0;0;
смертельно;1;0;0;0;0;
потому;0;0;0;1;0;
делать;0;0;1;0;0;
угу;1;0;0;0;0;
мужчины;0;0;0;0;1;
те;0;0;0;0;1;
писать;0;0;0;1;0;
друга;0;0;0;1;0;
даёт;0;0;0;0;1;
то;1;1;1;1;1;
понять;1;0;0;0;0;
моей;1;0;1;0;0;
отличной;0;0;0;0;1;
есть;1;1;1;1;1;
